Word,Frequency
#dilsefoodie,11
#dilsecouple,8
#ambala,2
#dilsebaby,1
#northindianfood,1
#paranthe,1
#tandoori,1
#meat,1
#food,14
#rasgulla,1
#candy,1
#amritsar,1
#breakfast,1
#sewa,1
#homegrown,1
#artisanal,1
#chocolate,1
#organic,1
#fruitbased,1
#foodtalkindia,10
#foodies,10
#foodgasm,10
#foodiesofindia,10
#foodblogger,11
#delicious,10
#yummy,10
#instafood,10
#discover,10
#fifa,1
#beer,1
#sports,1
#fifa2022,1
#worldcup,1
#instabeer,1
#foodtball,1
#NewInTown,3
#bandra,1
#lalocamaria,1
#spanish,1
#mediterranean,1
#cuisine,1
#mumbai,2
#foodtalk,8
#fti,8
#foodie,12
#foodgram,8
#foodfeed,8
#instagood,8
#instagram,8
#delhi,3
#karolbagh,1
#streetfood,4
#coffee,1
#caffeinne,1
#recipe,2
#winter,1
#season,1
#chilly,1
#gin,1
#drygin,1
#german,1
#knuthansen,1
#germangin,1
#restaurants,1
#openair,1
#dining,1
#services,1
#newmenus,1
#roundup,1
#burosu,1
#ramenbowls,1
#ramenbar,1
#panasian,1
#soulfood,1
#restaurant,1
#drink,1
#cocktail,1
#hod,1
#negroni,1
#sbagliato,1
#prosecco,1
#stunning,1
#trending,1
#foodnews,10
#foodscene,4
#hotdogs,2
#tampa,2
#italianfood,2
#truffle,4
#pasta,2
#newyorkcity,2
#ghostkitchens,2
#djkhaled,2
#crunchwrap,2
#crunchwrapsupreme,2
#tacos,2
#cheetos,2
#tacobell,2
#ramen,2
#brunch,4
#japanese,2
#manhattan,2
#harlem,2
#brooklyn,2
#lowereastside,2
#baconeggan,2
#baconeggandcheese,2
#ThePerfectMimosa,2
#champaign,2
#orangejuice,2
#salt,2
#truff,2
#sacue,2
#pies,2
#baking,2
#spookyseason,2
#halloween,2
#happyhalloween,2
#foodhack,2
#foodhacks,2
#lunch,2
#meltedcheese,2
#mozzarella,2
#pizza,2
#cheese,2
#westchesterfood,2
#westchesterfoodie,2
#heresmyfood,2
#freshmozz,2
#mozz,2
#funnyreels,2
#comedyreels,2
#relatablememes,1
#trendingreels,1
#bornoninstagram,1
#trendingnow,1
#trainfun,1
#indianrailways,1
#bestfriends,1
#relatable,1
#iphone12,1
#iphoneography,1
#reelvideo,7
#instagramreels,6
#funvideo,1
#youtube,1
#millionsubscribers,1
#silverplaybutton,1
#milestone,1
#explore,4
#eeeeeats,1
#sweetooth,2
#desserts,2
#gulabjamun,1
#moongdalhalwa,1
#dessertlover,1
#sweets,1
#mithai,2
#foodvideos,4
#jalebi,1
#indiansweets,1
#jalebilove,1
#foodreels,3
#eeeats,4
#delhistreetfood,3
#fries,1
#frieslover,1
#potatoes,1
#sogood,2
#reelsinstagram,1
#rannofkutch,2
#rannutsav,2
#tentcity,2
#kutchdiaries,2
#kutch,2
#gujrat,2
#incredibleindia,2
#travelgram,2
#travel,3
#explorepage,2
#rannutsav2022,2
#rannkerang,2
#rannkikahaaniya,2
#travelblogger,1
#chai,1
#chailover,1
#tea,1
#tealover,1
#chailove,1
#pahad,1
#mountains,1
#rishikesh,1
#travelreels,2
#manchurian,1
#noodles,1
